Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent,ESG_Group,Current_Price,Market_Cap_API
Genco Shipping & Trading Limited,GNK,Marine,0.49458,881101982.0,327165.0,31.74,High ESG,24.059999465942383,1048463872.0
Gencor Industries Inc,GENC,Industrial Machinery,0.0,,,11.36,Low ESG,14.949999809265137,219132640.0
Generac Holdings Inc,GNRC,Electrical Components & Equipment,-0.459419,8224952736.0,653748.0,33.94,Low ESG,262.3599853515625,15444786176.0
General Dynamics Corporation,GD,Aerospace & Defense,0.3504,79535082740.0,528390.0,25.22,Medium ESG,360.2200012207031,97414356992.0
"General Steel Holdings, Inc",GSIH,Trading Companies & Distributors,0.0,,,100.0,Low ESG,0.0003000000142492354,13804.0
Global Industrial Co,GIC,Trading Companies & Distributors,0.186276,1623522956.0,43103.0,61.12,Medium ESG,31.84000015258789,1218233472.0
Global Ship Lease Inc,GSL,Marine,0.474525,757956477.0,301343.0,10.15,High ESG,40.06999969482422,1443939712.0
Globus Maritime Ltd,GLBS,Marine,0.0,,,101.42,Low ESG,2.3499999046325684,50718404.0
Gol Linhas Aereas Inteligentes SA ADR,GOL,Airlines,0.0,,,-15.42,Low ESG,,
Golden Ocean Group Limited,GOGL,Marine,0.198919,,,42.76,Medium ESG,,
Grab Holdings Ltd,GRAB,Trucking,0.0258,,,12.58,Medium ESG,3.299999952316284,13496998912.0
Graco Inc,GGG,Industrial Machinery,-0.103844,15443846440.0,161416.0,28.57,Low ESG,74.5999984741211,12381225984.0
GrafTech International Ltd,EAF,Electrical Components & Equipment,-0.622508,414783470.0,4404359.0,-67.74,Low ESG,8.550000190734863,222709408.0
Graham Corporation,GHM,Industrial Machinery,0.3532,322251012.0,49134.0,115.83,Medium ESG,103.88999938964844,1212689536.0
Granite Construction Incorporated,GVA,Construction & Engineering,0.037737,2414078941.0,158785.0,40.64,Medium ESG,140.60000610351562,6150786048.0
Greenland Acquisition Corp,GTEC,,0.0,,,23.23,Low ESG,0.6299999952316284,16722860.0
Griffon Corporation,GFF,Building Products,0.91405,3452624787.0,178316.0,124.17,High ESG,93.72000122070312,4298620928.0
Grupo Aeroportuario del Centro Norte SAB de CV,OMAB,Airport Services,0.0,,,-11.86,Low ESG,101.7699966430664,4912557568.0
"Grupo Aeroportuario del Pacifico, S.A.B. de C.V",GPAEF,Airport Services,-0.306733,,,20.98,Low ESG,22.360000610351562,13304606720.0
"Grupo Aeroportuario del Sureste, S. A. B. de C. V",ASR,Airport Services,0.0,9700500000.0,31114.0,5.38,Low ESG,287.0899963378906,8621905920.0
HNI Corporation,HNI,Office Services & Supplies,-0.053413,1958779202.0,81427.0,59.84,Low ESG,33.099998474121094,2382965248.0
"Haber, Inc",ASPT,Research & Consulting Services,0.0,,,-100.0,Low ESG,9.999999747378752e-05,10351010.0
Harsco Corporation,HSC,Industrial Machinery,-0.324871,,,27.33,Low ESG,,
HeadHunter Group PLC ADR,HHR,,0.0,,,0.0,Low ESG,,
"Heidrick & Struggles International, Inc",HSII,Human Resource & Employment Services,0.181586,,,8.11,Medium ESG,,
Helios Technologies Inc,HLIO,,0.576554,1507796567.0,173027.0,-23.26,High ESG,84.58000183105469,2795060992.0
Herc Holdings Inc,HRI,Trading Companies & Distributors,0.296267,4554731494.0,101360.0,48.02,Medium ESG,144.6199951171875,4829302784.0
"Heritage-Crystal Clean, Inc",HCCI,Environmental & Facilities Services,0.202542,,,55.27,Medium ESG,,
"Hertz Global Holdings, Inc",HTZ,Trucking,-0.066459,,,-54.84,Low ESG,5.130000114440918,1619872000.0
