Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
"Ennis, Inc",EBF,Commercial Printing,0.307561,505850365.0,64757.0,-4.98
Enovix Corp,ENVX,Electrical Components & Equipment,0.0,,,-49.18
Equifax Inc,EFX,Research & Consulting Services,-0.315948,30826714878.0,680578.0,27.13
Espey Mfg. & Electronics Corp,ESP,Electrical Components & Equipment,0.8998,,,12.47
Euro Tech Holdings Company Ltd,CLWT,Trading Companies & Distributors,0.0,,,4.97
EuroDry Ltd,EDRY,Marine,0.6124,,,24.52
Euroseas Ltd,ESEA,Marine,0.418133,,,86.94
Evoqua Water Technologies Corp,AQUA,Industrial Machinery,0.376248,,,36.76
"Expeditors International of Washington, Inc",EXPD,Air Freight & Logistics,0.594983,16990189288.0,432741.0,
Experian plc,EXPGF,Research & Consulting Services,-0.009845,,,
"Exponent, Inc",EXPO,Research & Consulting Services,0.373514,,,
FLSmidth & Co. A/S,FLIDF,Construction & Engineering,0.396537,,,
"FTE Networks, Inc",FTNW,Construction & Engineering,-0.87015,,,
"FTI Consulting, Inc",FCN,Research & Consulting Services,0.095247,7333725217.0,51477.0,1.03
Fanuc Corporation,FANUF,Industrial Machinery,0.205399,,,
Fastenal Company,FAST,Trading Companies & Distributors,0.410872,,,
FedEx Corporation,FDX,Air Freight & Logistics,0.386622,66214177806.0,1219414.0,18.33
Federal Signal Corporation,FSS,Construction Machinery & Heavy Trucks,0.738662,5089526099.0,167856.0,63.12
Ferguson plc,FERGY,Trading Companies & Distributors,0.251421,,,
"Ferrovial, S.A",FRRVF,Construction & Engineering,0.28437,,,
First Tractor Company Limited,FIRRF,Agricultural & Farm Machinery,0.0,,,
Flowserve Corporation,FLS,Industrial Machinery,0.456644,6224092152.0,263966.0,42.16
Fluor Corporation,FLR,Construction & Engineering,0.135409,7092277409.0,792288.0,35.96
Flux Power Holdings Inc,FLUX,Electrical Components & Equipment,0.712965,,,9.4
Fly Leasing Limited,FLY,Trading Companies & Distributors,0.46129,,,
"Fomento de Construcciones y Contratas, S.A",FMOCF,Construction & Engineering,0.39515,,,
"Forrester Research, Inc",FORR,Research & Consulting Services,0.380359,,,-41.29
Fortive Corporation,FTV,Industrial Machinery,0.542816,29389401035.0,553378.0,24.26
"Fortune Brands Home & Security, Inc",FBHS,Building Products,0.693881,,,
Forward Air Corporation,FWRD,Air Freight & Logistics,-0.118157,,,-73.61
Fosun International Limited,FOSUF,Industrial Conglomerates,0.345562,,,
"Foundation Building Materials, Inc",FBM,Trading Companies & Distributors,-0.521647,,,
Franklin Covey Co,FC,Research & Consulting Services,0.049567,508749773.0,87813.0,1.66
"Franklin Electric Co., Inc",FELE,Industrial Machinery,0.498164,,,
