Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
"FreightCar America, Inc",RAIL,Construction Machinery & Heavy Trucks,0.0,,,
Frontier Group Holdings Inc,ULCC,Airlines,0.0,,,-28.59
"Fuel Tech, Inc",FTEK,Environmental & Facilities Services,0.659935,,,
FuelCell Energy Inc,FCEL,Electrical Components & Equipment,0.669722,,,
Furmanite Corp,FRM,Construction & Engineering,0.0,,,
GATX Corporation,GATX,Trading Companies & Distributors,0.275433,4623786250.0,69568.0,16.17
"GEE Group, Inc",JOB,Human Resource & Employment Services,-0.064043,,,-17.4
GMS Inc,GMS,Trading Companies & Distributors,0.558527,3839165067.0,168433.0,77.94
GP Strategies Corporation,GPX,Human Resource & Employment Services,-0.348252,,,
Gates Industrial Corporation plc,GTES,Industrial Machinery,0.417531,4590395173.0,721130.0,29.98
Genco Shipping & Trading Limited,GNK,Marine,0.49458,881101982.0,327165.0,31.74
Gencor Industries Inc,GENC,Industrial Machinery,0.0,,,11.36
Generac Holdings Inc,GNRC,Electrical Components & Equipment,-0.459419,8224952736.0,653748.0,33.94
General Dynamics Corporation,GD,Aerospace & Defense,0.3504,79535082740.0,528390.0,25.22
General Electric Company,GE,Industrial Conglomerates,0.218484,215904000000.0,4608807.0,
General Finance Corporation,GFN,Trading Companies & Distributors,-0.364581,,,
"General Steel Holdings, Inc",GSIH,Trading Companies & Distributors,0.0,,,100.0
"Gibraltar Industries, Inc",ROCK,Building Products,0.475143,,,
Global Industrial Co,GIC,Trading Companies & Distributors,0.186276,1623522956.0,43103.0,61.12
Global Ship Lease Inc,GSL,Marine,0.474525,757956477.0,301343.0,10.15
Globus Maritime Ltd,GLBS,Marine,0.0,,,101.42
Gol Linhas Aereas Inteligentes SA ADR,GOL,Airlines,0.0,,,-15.42
Golden Ocean Group Limited,GOGL,Marine,0.198919,,,42.76
Grab Holdings Ltd,GRAB,Trucking,0.0258,,,12.58
Graco Inc,GGG,Industrial Machinery,-0.103844,15443846440.0,161416.0,28.57
GrafTech International Ltd,EAF,Electrical Components & Equipment,-0.622508,414783470.0,4404359.0,-67.74
Graham Corporation,GHM,Industrial Machinery,0.3532,322251012.0,49134.0,115.83
Granite Construction Incorporated,GVA,Construction & Engineering,0.037737,2414078941.0,158785.0,40.64
Great Lakes Dredge & Dock Corporation,GLDD,Construction & Engineering,0.323627,,,
Greenland Acquisition Corp,GTEC,,0.0,,,23.23
Griffon Corporation,GFF,Building Products,0.91405,3452624787.0,178316.0,124.17
Groupe ADP,AEOXF,Airport Services,0.150069,,,
Grupo Aeroportuario del Centro Norte SAB de CV,OMAB,Airport Services,0.0,,,-11.86
"Grupo Aeroportuario del Pacifico, S.A.B. de C.V",GPAEF,Airport Services,-0.306733,,,20.98
"Grupo Aeroportuario del Sureste, S. A. B. de C. V",ASR,Airport Services,0.0,9700500000.0,31114.0,5.38
Guangshen Railway Company Limited,GNGYF,Railroads,0.0,,,
Guoco Group Limited,GULRF,Industrial Conglomerates,0.0,,,
"H&E Equipment Services, Inc",HEES,Trading Companies & Distributors,0.0,,,
"HD Supply Holdings, Inc",HDS,Trading Companies & Distributors,-0.383806,,,
HEICO Corporation,HEI,Aerospace & Defense,0.693132,26298914856.0,149617.0,
HNI Corporation,HNI,Office Services & Supplies,-0.053413,1958779202.0,81427.0,59.84
"Haber, Inc",ASPT,Research & Consulting Services,0.0,,,-100.0
Haitian International Holdings Limited,HAIIF,Industrial Machinery,0.0,,,
Hapag-Lloyd Aktiengesellschaft,HLAGF,Marine,0.0,,,
Harsco Corporation,HSC,Industrial Machinery,-0.324871,,,27.33
"Hawaiian Holdings, Inc",HA,Airlines,0.399175,,,
Hays plc,HAYPF,Human Resource & Employment Services,-0.195419,,,
HeadHunter Group PLC ADR,HHR,,0.0,,,0.0
"Healthcare Services Group, Inc",HCSG,Diversified Support Services,-0.502219,,,
"Heartland Express, Inc",HTLD,Trucking,0.4869,,,
"Heidrick & Struggles International, Inc",HSII,Human Resource & Employment Services,0.181586,,,8.11
Helios Technologies Inc,HLIO,,0.576554,1507796567.0,173027.0,-23.26
Herc Holdings Inc,HRI,Trading Companies & Distributors,0.296267,4554731494.0,101360.0,48.02
"Heritage-Crystal Clean, Inc",HCCI,Environmental & Facilities Services,0.202542,,,55.27
"Herman Miller, Inc",MLHR,Office Services & Supplies,-0.17497,,,
"Hertz Global Holdings, Inc",HTZ,Trucking,-0.066459,,,-54.84
Hexcel Corporation,HXL,Aerospace & Defense,0.031791,5316444630.0,4292411.0,-6.56
Highway Holdings Limited,HIHO,Industrial Machinery,0.9954,,,7.17
"Hill International, Inc",HIL,Research & Consulting Services,-0.540907,,,
"Hillenbrand, Inc",HI,Industrial Machinery,0.185531,3298887643.0,124990.0,3.5
Hirequest Inc,HQI,,0.0,,,-41.95
Hoku Corporation,HOKUQ,Electrical Components & Equipment,0.0,,,-66.67
Honeywell International Inc,HON,Industrial Conglomerates,0.288502,,,
Hoshizaki Corporation,HSHIF,Industrial Machinery,0.8614,,,
Houston Wire & Cable Company,HWCC,Trading Companies & Distributors,-0.732997,,,
Howden Joinery Group Plc,HWDJF,Trading Companies & Distributors,0.0,,,
Howmet Aerospace Inc,HWM,Specialty Industrial Machinery,-0.634704,26624603913.0,1687707.0,48.86
"Hub Group, Inc",HUBG,Air Freight & Logistics,0.583768,,,
Hubbell Inc,HUBB,Electrical Components & Equipment,0.60535,21887842091.0,217542.0,79.23
Hudson Global Inc,HSON,Human Resource & Employment Services,0.0,,,-22.0
"Hudson Technologies, Inc",HDSN,Environmental & Facilities Services,0.866075,,,
"Huntington Ingalls Industries, Inc",HII,Aerospace & Defense,0.328585,10944449514.0,202199.0,28.27
